sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
581,0.7662099003791809,11,Medium (9-11),1,1,1,1,30.139896,29.163355,0.9765415
582,0.8454680442810059,8,Short (<=8),2,0,1,1,31.970638,32.91545,-0.9448128
583,0.672282338142395,10,Medium (9-11),7,0,0,1,26.703178,28.322739,-1.6195602
584,0.4655984342098236,22,Very Long (>14),1,1,1,1,26.854431,26.251163,0.60326767
585,0.659358561038971,8,Short (<=8),3,0,1,1,31.264156,32.591457,-1.327301
586,0.8455684781074524,11,Medium (9-11),1,1,1,1,28.437742,26.084465,2.3532772
587,0.844268262386322,9,Medium (9-11),1,1,1,1,30.090225,29.93694,0.15328598
588,0.6494593024253845,13,Long (12-14),7,0,0,1,26.013609,27.420362,-1.4067535
589,0.7780189514160156,8,Short (<=8),9,0,0,1,26.211607,28.443611,-2.2320042
590,0.7268050312995911,16,Very Long (>14),8,0,0,1,26.07052,30.64447,-4.57395
591,0.8435795307159424,10,Medium (9-11),24,0,0,0,24.21173,28.692934,-4.481205
592,0.8160598874092102,7,Short (<=8),3,0,1,1,28.476027,29.793257,-1.3172302
593,0.872799813747406,7,Short (<=8),10,0,0,1,25.881962,27.163258,-1.2812958
594,0.5078554153442383,13,Long (12-14),1,1,1,1,34.188446,25.29254,8.895906
595,0.6312263011932373,9,Medium (9-11),2,0,1,1,27.787134,28.57823,-0.79109573
596,0.76425701379776,12,Long (12-14),13,0,0,0,23.490038,26.116253,-2.626215
597,0.785897970199585,18,Very Long (>14),2,0,1,1,29.041868,29.528389,-0.48652077
598,0.6995977759361267,8,Short (<=8),2,0,1,1,26.46461,27.235676,-0.77106667
599,0.9079180955886841,9,Medium (9-11),24,0,0,0,25.234943,28.550673,-3.3157291
600,0.6352681517601013,18,Very Long (>14),1,1,1,1,32.26965,27.720055,4.549595
601,0.9035788774490356,6,Short (<=8),23,0,0,0,25.429722,27.74067,-2.3109474
602,0.8949507474899292,8,Short (<=8),5,0,1,1,28.746546,29.969936,-1.2233906
603,0.8545907139778137,6,Short (<=8),9,0,0,1,26.127703,27.275467,-1.1477642
604,0.868732750415802,13,Long (12-14),7,0,0,1,26.015419,31.301987,-5.2865677
605,0.8447275161743164,7,Short (<=8),1,1,1,1,28.180546,25.315254,2.8652916
606,0.8006371855735779,8,Short (<=8),1,1,1,1,29.459482,26.33608,3.1234016
607,0.7125893235206604,13,Long (12-14),2,0,1,1,28.121271,28.204924,-0.0836525
608,0.6696348190307617,8,Short (<=8),3,0,1,1,28.222597,28.722902,-0.5003052
609,0.7293450236320496,10,Medium (9-11),1,1,1,1,28.354443,28.33032,0.024122238
610,0.7302014231681824,11,Medium (9-11),1,1,1,1,31.591183,26.758026,4.8331566
611,0.7111330628395081,6,Short (<=8),4,0,1,1,25.423489,26.840364,-1.4168758
612,0.7370709180831909,14,Long (12-14),1,1,1,1,30.418331,28.98719,1.4311409
613,0.5686520934104919,14,Long (12-14),2,0,1,1,30.901909,32.36312,-1.4612122
614,0.8842440247535706,8,Short (<=8),1,1,1,1,34.009903,29.10179,4.9081135
615,0.6031230688095093,12,Long (12-14),1,1,1,1,28.950565,24.038157,4.912409
616,0.8769721984863281,6,Short (<=8),7,0,0,1,28.569132,29.982769,-1.4136372
617,0.7494511604309082,6,Short (<=8),11,0,0,0,27.509695,30.32865,-2.8189545
618,0.8167109489440918,9,Medium (9-11),1,1,1,1,31.171125,26.23938,4.9317455
619,0.6672866940498352,15,Very Long (>14),3,0,1,1,28.653324,28.890768,-0.23744392
620,0.9300991296768188,6,Short (<=8),872,0,0,0,18.412758,26.954344,-8.541586
