sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
574,0.7565692067146301,9,Medium (9-11),2,0,1,1,27.441877,27.482431,-0.040554047
575,0.5612185597419739,13,Long (12-14),2,0,1,1,28.477228,29.978958,-1.50173
576,0.6902979016304016,13,Long (12-14),4,0,1,1,26.776373,28.102184,-1.3258114
577,0.8494675755500793,8,Short (<=8),1,1,1,1,33.240707,29.731936,3.508772
578,0.7334783673286438,15,Very Long (>14),2,0,1,1,31.117403,31.330383,-0.21298027
579,0.7806816697120667,18,Very Long (>14),2,0,1,1,29.295689,29.341543,-0.04585457
580,0.705647349357605,18,Very Long (>14),1,1,1,1,29.439264,29.183445,0.25581932
581,0.7709211707115173,11,Medium (9-11),1,1,1,1,29.505999,28.57463,0.9313679
582,0.8361610770225525,8,Short (<=8),2,0,1,1,32.284634,33.064896,-0.780262
583,0.6915303468704224,10,Medium (9-11),6,0,0,1,26.662233,28.261417,-1.599184
584,0.47968459129333496,22,Very Long (>14),2,0,1,1,26.412588,26.683212,-0.27062416
585,0.6474097967147827,8,Short (<=8),6,0,0,1,30.947971,32.393845,-1.4458733
586,0.8474359512329102,11,Medium (9-11),1,1,1,1,27.909166,25.805845,2.103321
587,0.8518007397651672,9,Medium (9-11),3,0,1,1,29.62178,29.930368,-0.30858803
588,0.6466955542564392,13,Long (12-14),4,0,1,1,26.47259,27.34049,-0.86790085
589,0.7817516326904297,8,Short (<=8),16,0,0,0,25.7594,28.607067,-2.8476677
590,0.7207740545272827,16,Very Long (>14),8,0,0,1,25.786203,30.716265,-4.9300613
591,0.816395103931427,10,Medium (9-11),23,0,0,0,24.243992,28.925817,-4.6818256
592,0.8113693594932556,7,Short (<=8),5,0,1,1,27.948458,29.864376,-1.9159184
593,0.8760207295417786,7,Short (<=8),7,0,0,1,26.145441,27.03271,-0.88726807
594,0.5057189464569092,13,Long (12-14),1,1,1,1,33.7038,24.837095,8.866705
